IdKind;Geslacht;Postcode;Gemeente;IndStatus;LlGroep;IdKeuze;Voorkeur;School;Roepnaam;SchoolNummer;Vestigingsnummer;Wijk;Net;Status;Random;Voorrangsgroep;StraatSchool;NrSchool;BusSchool;PcSChool;GemeenteSchool
a62a4432-64b9-4b4f-883a-1600e4b64d54;Man;9031;Drongen;onbepaald;1ste secundair stroom A;22a26250-b169-4a27-96d9-671adb1453fb;1;Sint-Lievenscollege 1;Sint-Lievenscollege Humaniora;127688 & 127696;1;Binnenstad;Vrij katholiek onderwijs;Ingeschreven;6565;REST;Zilverenberg;1;;9000;Gent
a62a4432-64b9-4b4f-883a-1600e4b64d54;Man;9031;Drongen;onbepaald;1ste secundair stroom A;732d5a5f-9a0b-4ce6-a876-48bd79daaa61;2;Sint-Bavohumaniora Middenschool;Sint-Bavohumaniora;112169;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld;7137;REST;Reep;4;;9000;Gent
a62a4432-64b9-4b4f-883a-1600e4b64d54;Man;9031;Drongen;onbepaald;1ste secundair stroom A;9df56cbd-cd67-48c8-bb09-75d5629a2018;3;Don Boscocollege eerste graad;Don Boscocollege eerste graad;112144;1;Zwijnaarde;Vrij katholiek onderwijs;Afgemeld;4821;REST;Grotesteenweg-Noord;113;;9052;Zwijnaarde
765464c5-5b8a-47b6-9cf4-ad78fef3135a;Vrouw;9040;Sint-Amandsberg;onbepaald;1ste secundair stroom A;519e693f-d3ef-4baf-973d-890db641c337;1;Sint-Bavohumaniora Middenschool;Sint-Bavohumaniora;112169;1;Binnenstad;Vrij katholiek onderwijs;Ingeschreven;557;REST;Reep;4;;9000;Gent
765464c5-5b8a-47b6-9cf4-ad78fef3135a;Vrouw;9040;Sint-Amandsberg;onbepaald;1ste secundair stroom A;b929ee1f-28da-4217-80aa-b8a262ea3f35;2;Sint-Barbaracollege;Sint-Barbaracollege;126649;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld;975;REST;Savaanstraat;33;;9000;Gent
765464c5-5b8a-47b6-9cf4-ad78fef3135a;Vrouw;9040;Sint-Amandsberg;onbepaald;1ste secundair stroom A;35792dd3-8184-4103-9c3c-2cd2c3b3b2fa;3;Sint-Janscollege eerste graad;Sint-Janscollege campus Heiveld;115361;1;Sint-Amandsberg;Vrij katholiek onderwijs;Afgemeld;1265;REST;Heiveldstraat;117;;9040;Sint-Amandsberg
cf9fb2c3-e59f-4e24-9496-c7f0a4998edc;Vrouw;9000;Gand;onbepaald;1ste secundair stroom A;3571a676-10fd-4a00-a3e3-fbe0d4b74d03;1;Freinetmiddenschool Gent;Freinetmiddenschool Gent;116749;4;Watersportbaan – Ekkergem;Stedelijk onderwijs;Ingeschreven;479;REST;Offerlaan;1;;9000;Gent
cf9fb2c3-e59f-4e24-9496-c7f0a4998edc;Vrouw;9000;Gand;onbepaald;1ste secundair stroom A;627bb0ec-e883-4e50-85e6-0d553a1461d9;2;GO! Campus Lyceum;GO! Campus Lyceum;43356;1;Stationsbuurt Noord;GO!;Afgemeld;2281;REST;Kortrijksesteenweg;12;;9000;Gent
cf9fb2c3-e59f-4e24-9496-c7f0a4998edc;Vrouw;9000;Gand;onbepaald;1ste secundair stroom A;8bbf016b-94d0-47f5-b784-16566535d0f2;3;GO! Middenschool Voskenslaan;GO! Middenschool Voskenslaan;44669;1;Stationsbuurt Zuid;GO!;Afgemeld;7239;REST;Voskenslaan;60;;9000;Gent
9cefba92-e286-470c-bd60-c9effe792869;Man;9000;GENT;onbepaald;1ste secundair stroom B;339152d0-16a9-4556-a4fa-5d50a3fb3305;1;IVV Sint-Vincentius;IVV Sint-Vincentius;37069;1;Sluizeken – Tolhuis – Ham;Vrij katholiek onderwijs;Ingeschreven;2300;BZ;Molenaarsstraat;30;;9000;Gent
9cefba92-e286-470c-bd60-c9effe792869;Man;9000;GENT;onbepaald;1ste secundair stroom B;23d83855-a7d2-4e6d-b939-861e3b79220d;2;Visitatie;Visitatie;37581;1;Mariakerke;Vrij katholiek onderwijs;Afgemeld;8796;REST;Zandloperstraat;8;;9030;Mariakerke
234d928e-3f56-45be-948e-090f5c2afc34;Vrouw;9000;GENT;onbepaald;1ste secundair stroom A;ee159a47-b0eb-4e9a-90bd-ea1778fc7cfb;1;Lucernacollege Gent;Lucernacollege;122382;4;Stationsbuurt Zuid;Vrij onderwijs;Ingeschreven;7342;BZ;Ganzendries;149;;9000;Gent
ba8c2be3-4220-41df-8da5-fe72b4d89a96;Man;9950;Lievegem;onbepaald;1ste secundair stroom A;1bb09e14-9ae0-4fdb-8dc2-e9f416304281;1;Don Bosco Gent - campus Sint-Pieters;Sint-Pieters;128025;1;Stationsbuurt Noord;Vrij katholiek onderwijs;Ingeschreven;10228;BZ;Koning Albertlaan;70;;9000;Gent
ba8c2be3-4220-41df-8da5-fe72b4d89a96;Man;9950;Lievegem;onbepaald;1ste secundair stroom A;3ab23e70-11ea-4e75-9a33-0c579b29a554;2;Sint-Lievenscollege 1;Sint-Lievenscollege Humaniora;127688 & 127696;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld Dubbele Toekenning;4762;REST;Zilverenberg;1;;9000;Gent
530e3681-d4b9-43e2-9d21-1db7914b1dbd;Man;9940;Evergem;onbepaald;1ste secundair stroom A;b5c0b4cc-c370-4805-b9ec-8a96ba9cc339;1;Vrij Instituut voor Secundair Onderwijs;VISO Mariakerke;36939;1;Mariakerke;Vrij katholiek onderwijs;Ingeschreven;2531;BZ;Industrieweg;230;;9030;Mariakerke
530e3681-d4b9-43e2-9d21-1db7914b1dbd;Man;9940;Evergem;onbepaald;1ste secundair stroom A;eadc8ae1-5c7d-4c82-87c3-e86d0e7ddcc8;2;Sint-Franciscus Evergem;Sint-Franciscus Evergem;36517;1;Buiten Gent;Vrij katholiek onderwijs;Afgemeld Dubbele Toekenning;6567;REST;Schepenhuisstraat;4;;9940;Evergem
530e3681-d4b9-43e2-9d21-1db7914b1dbd;Man;9940;Evergem;onbepaald;1ste secundair stroom A;c5442eee-61bf-49c2-9589-2ac67f670aff;3;Einstein Atheneum campus Evergem;Einstein Atheneum campus Evergem;43216;1;Buiten Gent;GO!;Afgemeld Dubbele Toekenning;791;REST;Hofbilkstraat ;21;;9940;Evergem
c0bc0113-34a1-497c-9cdc-6bfee2d390fc;Man;9031;Gent;onbepaald;1ste secundair stroom A;14a97286-66ab-4f69-9dcf-7746cec4e976;1;GO! Atheneum Mariakerke;Atheneum Mariakerke;43554;1;Mariakerke;GO!;Ingeschreven;1013;BZ;Amand Casier de ter Bekenlaan;26;;9030;Mariakerke
c0bc0113-34a1-497c-9cdc-6bfee2d390fc;Man;9031;Gent;onbepaald;1ste secundair stroom A;7dad9e8b-b71a-4003-8225-fc48b28b77d3;2;Sint-Bavohumaniora Middenschool;Sint-Bavohumaniora;112169;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld Dubbele Toekenning;10952;REST;Reep;4;;9000;Gent
c0bc0113-34a1-497c-9cdc-6bfee2d390fc;Man;9031;Gent;onbepaald;1ste secundair stroom A;3d832e94-c5d2-416f-a295-b2a6346251e4;3;Sint-Barbaracollege;Sint-Barbaracollege;126649;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld Dubbele Toekenning;6661;REST;Savaanstraat;33;;9000;Gent
50e72361-8311-4513-b761-a19c7e75ffa6;Vrouw;9840;DE PINTE;onbepaald;1ste secundair stroom A;8330964c-2b95-45d6-8c49-c44f254d40d2;1;Sint-Paulusinstituut 1;Sint-Paulus campus Patijntjestraat;127531;1;Stationsbuurt Noord;Vrij katholiek onderwijs;Ingeschreven;3306;REST;Patijntjestraat;45;;9000;Gent
50e72361-8311-4513-b761-a19c7e75ffa6;Vrouw;9840;DE PINTE;onbepaald;1ste secundair stroom A;b2b5f640-272a-4456-b0fa-06ed67fe9344;2;Don Boscocollege eerste graad;Don Boscocollege eerste graad;112144;1;Zwijnaarde;Vrij katholiek onderwijs;Afgemeld;9987;REST;Grotesteenweg-Noord;113;;9052;Zwijnaarde
c99d8ae2-c5f4-4eaa-9bd8-dfd5e600f8e8;Man;9940;9940 Ertvelde;onbepaald;1ste secundair stroom A;8d0fcf1d-b9ad-4226-8a6d-01ed69cc0eae;1;GO! Middenschool Voskenslaan;GO! Middenschool Voskenslaan;44669;1;Stationsbuurt Zuid;GO!;Ingeschreven;5173;REST;Voskenslaan;60;;9000;Gent
