child_id	garten_id	pref_nr	distance_m	has_sib
145	4	7	12026	0
10	4	7	12130	0
107	4	7	13704	0
108	4	7	10405	0
2	4	1	5335	1
146	4	7	11253	0
109	4	7	12619	0
110	4	6	12745	0
9	4	7	12189	0
112	4	7	12004	0
113	4	6	11953	0
8	4	1	8538	0
114	4	7	10409	0
115	4	7	12832	0
116	4	7	12225	0
117	4	7	13770	0
118	4	3	4185	0
119	4	5	10651	0
120	4	7	12292	0
147	4	5	12586	0
7	4	7	10468	0
121	4	7	12288	0
122	4	7	12675	0
123	4	6	10693	0
124	4	7	10952	0
125	4	7	12519	0
6	4	7	12225	0
126	4	5	11952	0
127	4	7	12939	0
149	4	1	4143	0
128	4	7	14379	0
129	4	7	12074	0
130	4	7	12836	0
131	4	3	12422	0
132	4	7	10732	0
5	4	7	12121	0
133	4	7	12278	0
150	4	7	12806	0
134	4	7	11035	0
26	4	7	10586	0
152	4	1	8668	1
27	4	5	10230	0
28	4	3	4703	0
4	4	7	13616	0
29	4	6	10793	0
30	4	3	12288	0
25	4	7	12501	0
31	4	7	10706	0
32	4	6	11982	0
33	4	7	12391	0
34	4	7	13034	0
135	4	4	13769	0
24	4	7	13393	0
35	4	7	12436	0
36	4	7	10881	0
37	4	3	10109	0
38	4	7	11657	0
39	4	7	13835	0
23	4	7	7141	0
40	4	6	12422	0
41	4	7	12074	0
42	4	7	10924	0
136	4	5	8964	0
43	4	7	11089	0
51	5	3	3983	0
130	5	2	1414	0
32	5	1	7797	0
94	5	4	8969	0
35	5	4	8615	0
5	5	3	7936	0
109	5	4	8798	0
64	5	4	11328	0
84	5	2	11841	0
110	5	2	1581	0
129	5	4	2371	0
14	5	5	12783	0
23	5	3	7459	0
9	5	4	8911	0
149	5	5	10960	0
128	5	5	2758	0
95	5	2	11550	0
65	5	4	8668	0
127	5	1	919	1
83	5	4	13092	0
111	5	6	2869	0
88	5	3	13499	0
39	5	4	3355	0
4	5	1	1995	0
52	5	2	11945	0
2	5	5	8459	0
36	5	3	2799	0
112	5	3	1794	0
135	5	2	2046	0
6	5	3	1787	0
78	5	1	241	0
113	5	3	8132	0
44	5	4	12673	0
57	5	3	9036	0
136	5	3	4705	0
77	5	3	1242	0
114	5	3	3509	0
126	5	4	8131	0
8	5	7	16256	0
56	5	2	8033	0
1	5	4	1693	0
125	5	5	8334	0
82	5	5	13846	0
139	5	2	1511	0
115	5	3	1242	0
152	5	3	13015	0
146	5	5	12017	0
76	5	2	3339	0
96	5	4	12086	0
38	5	2	1826	0
116	5	4	1787	0
124	5	6	12105	0
123	5	2	3054	0
