n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,sol_3_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,3_avg_rank_result,3_avg_rank_heur,3_bool_CG,3_time,3_time_lim_exceeded,3_optimal,3_n_iter,3_n_match,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA,3_n_stud_impr_DA,3_avg_rank_impr_DA,3_median_rank_impr_DA,3_n_stud_impr_EE,3_avg_rank_impr_EE,3_median_rank_impr_EE,3_n_stud_impr_EADA,3_avg_rank_impr_EADA,3_median_rank_impr_EADA,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,n_stud_impr_EADA_DA,avg_rank_impr_EADA_DA,n_stud_impr_EADA_EE,avg_rank_impr_EADA_EE,n_stud_impr_EE_EADA,avg_rank_impr_EE_EADA
40,8,0.1,0.2,906691059,600,3,1.2691000000000001,1.1965000000000008,1.1928750000000004,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.1265749999999999,1.1265749999999999,False,0.2841245000017807,False,False,1,567,1.151150000000001,1.151150000000001,False,0.3331846999935806,False,False,1,567,1.1522,1.1522,False,0.33220910001546144,False,False,1,567,29,0.19658620689655149,0.14199999999999968,16,0.15600000000000064,0.0815000000000008,16,0.1500624999999998,0.08399999999999985,30,0.15726666666666533,0.11900000000000088,27,0.0671851851851845,0.0400000000000027,19,0.06477368421052342,0.033000000000001695,30,0.15586666666666676,0.12299999999999978,23,0.0682898550724648,0.06200000000000139,26,0.06257692307692318,0.04500000000000004,,,,,,,,
40,8,0.1,0.2,413653999,600,3,1.5196499999999995,1.398900000000001,1.3943249999999998,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.29995,1.29995,False,0.7126698999782093,False,False,1,993,1.327825000000001,1.327825000000001,False,0.48645370005397126,False,False,1,993,1.3295249999999994,1.3295249999999994,False,0.43469620001269504,False,False,1,993,31,0.2834838709677423,0.22988205527442473,17,0.2064214732214424,0.17900000000000105,14,0.23418025357281907,0.1969410276372125,35,0.21922857142857038,0.1940000000000004,31,0.09170967741935458,0.06938348983882525,18,0.10091737444522214,0.07450000000000023,35,0.21728571428571442,0.2020000000000004,22,0.10981818181818284,0.07200000000000062,29,0.0893793103448278,0.06499999999999972,,,,,,,,
40,8,0.1,0.2,813847339,600,3,1.4638750000000005,1.371575000000001,1.3711750000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2959249999999995,1.2959249999999995,False,0.44450049998704344,False,False,1,988,1.3163750000000018,1.3163750000000018,False,0.6351844000164419,False,False,1,988,1.3201749999999994,1.3201749999999994,False,0.4646624000160955,False,False,1,988,32,0.2099375,0.18025316455696172,16,0.1450000000000009,0.07173734177215263,16,0.14656249999999996,0.0782373417721518,34,0.17352941176470355,0.13899999999999846,30,0.07359999999999824,0.059000000000001385,21,0.07044105536640217,0.040000000000002034,35,0.16422857142857172,0.12399999999999878,26,0.07199004048583126,0.067500000000001,30,0.0680000000000003,0.06300000000000017,,,,,,,,
40,8,0.1,0.2,955892128,600,3,1.3296500000000002,1.290950000000001,1.28585,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.217775,1.217775,False,0.42016229999717325,False,False,1,960,1.2248750000000006,1.2248750000000006,False,0.5420327999745496,False,False,1,960,1.2263,1.2263,False,0.45840050000697374,False,False,1,960,35,0.12785714285714278,0.10299999999999865,17,0.10274316101091026,0.08700000000000085,18,0.08152034793414104,0.04949999999999999,35,0.11974285714285612,0.10199999999999965,35,0.07551428571428564,0.06820173535791851,21,0.060220259615052125,0.04500000000000037,35,0.11811428571428557,0.1030000000000002,29,0.08128716633418924,0.056000000000000716,35,0.06805714285714275,0.04899999999999993,,,,,,,,
40,8,0.1,0.2,451585301,600,3,1.6426749999999994,1.4946000000000015,1.4922499999999999,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.3862499999999993,1.3862499999999993,False,0.4544128999696113,False,False,1,997,1.4217500000000003,1.4217500000000003,False,0.537134500045795,False,False,1,997,1.4322249999999999,1.4322249999999999,False,0.43650099996011704,False,False,1,997,36,0.284916666666667,0.12396455836764897,13,0.23271769127555103,0.16071804006847867,13,0.24564076819862696,0.09571804006847784,37,0.23883783783783702,0.1629999999999998,33,0.08830303030303042,0.045865409107295196,18,0.07916666666666623,0.04500000000000015,37,0.22751351351351354,0.1549999999999998,25,0.09541146506205113,0.054043351847699705,32,0.07503125000000001,0.03899999999999981,,,,,,,,
40,8,0.1,0.2,43469773,600,3,1.6212499999999994,1.562725000000001,1.5588000000000002,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4729999999999999,1.4729999999999999,False,0.4745721000363119,False,False,1,1000,1.4864500000000005,1.4864500000000005,False,0.5415745999780484,False,False,1,1000,1.4867249999999996,1.4867249999999996,False,0.419734499999322,False,False,1,1000,30,0.19766666666666655,0.14649999999999985,10,0.2118598222890576,0.13428852091608479,8,0.25108596349081447,0.18499999999999983,34,0.15858823529411648,0.10428572091409305,30,0.10169999999999975,0.06850000000000234,20,0.11411868503700559,0.08100000000000096,34,0.15826470588235314,0.1044999999999997,19,0.1159802446293357,0.0830000000000013,30,0.09610000000000017,0.06662865565597798,,,,,,,,
40,8,0.1,0.2,278009742,600,3,1.5939999999999999,1.489950000000001,1.462125,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4153999999999998,1.4153999999999998,False,0.46689670003252104,False,False,1,996,1.4434750000000043,1.4434750000000043,False,0.42264259996591136,False,False,1,996,,,False,0.41974790004314855,False,False,1,996,30,0.2381333333333324,0.14118918918918322,16,0.16893750000000074,0.0916891891891839,15,0.15279999999999944,0.03437837837836599,32,0.1881562499999943,0.10752544910180528,28,0.06639285714285142,0.03349999999993225,14,0.0408661248930689,0.01850000000000257,0,0,0,0,0,0,0,0,0,,,,,,,,
40,8,0.1,0.2,548977048,600,3,1.4364750000000008,1.2661250000000006,1.2543500000000003,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2059,1.2059,False,0.3718728999956511,False,False,1,887,1.2335000000000018,1.2335000000000018,False,0.47634920000564307,False,False,1,887,1.2297,1.2297,False,0.4190781000070274,False,False,1,887,32,0.28821875000000025,0.25690000000000013,20,0.127110000000001,0.053400000000000836,20,0.10811000000000004,0.04440000000000033,33,0.2460303030303007,0.21400000000000063,26,0.05019230769230547,0.0160000000000019,21,0.044695021645018936,0.0129999999999999,32,0.2584687499999999,0.24849999999999983,24,0.061288207547170674,0.025000000000000577,23,0.04286956521739119,0.01399999999999979,,,,,,,,
40,8,0.1,0.2,521760889,600,3,1.406425000000001,1.3543000000000007,1.3532999999999997,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2536500000000002,1.2536500000000002,False,0.45180089998757467,False,False,1,1000,1.281050000000001,1.281050000000001,False,0.39000859996303916,False,False,1,1000,1.28105,1.28105,False,0.35694510000757873,False,False,1,1000,36,0.1697499999999998,0.12152983822972441,13,0.18999540950312005,0.15200000000000125,12,0.1940783602950457,0.13749999999999996,39,0.1285897435897423,0.10299999999998888,32,0.09156249999999912,0.08350000000000118,20,0.10009534122079318,0.08200000000000102,39,0.12858974358974334,0.10299999999999954,26,0.09167145541142165,0.08150000000000068,32,0.09031249999999964,0.08150000000000002,,,,,,,,
40,8,0.1,0.2,434794718,600,3,1.7117000000000004,1.6039000000000025,1.6018250000000012,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4968749999999995,1.4968749999999995,False,0.4234351000050083,False,False,1,1000,1.5261000000000011,1.5261000000000011,False,0.38238129997625947,False,False,1,1000,1.5335999999999996,1.5335999999999996,False,0.35810910002328455,False,False,1,1000,33,0.26039393939393923,0.22664323996044922,14,0.18389967554793032,0.09717829218468532,10,0.23515954576710105,0.11454722516400051,36,0.20622222222222028,0.2013550226384817,33,0.09430303030302949,0.07199999999999984,19,0.12488984365518434,0.12049442822205547,36,0.19788888888888906,0.21789402340574576,21,0.08390476190476341,0.04678804681149318,30,0.09096666666666685,0.06976768440787917,,,,,,,,
