n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EE_bug,avg_rank_EADA,n_assigned_DA,n_assigned_EE,n_assigned_EADA,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,median_rank_impr_EE_DA,n_stud_impr_EE_bug_DA,avg_rank_impr_EE_bug_DA,median_rank_impr_EE_bug_DA
1000,20,0.0,0.0,325679554,10,1,1.181,1.163,1.163,,,,,6,3.0,1.0,6,3.0,1.0
1000,20,0.0,0.0,511742081,10,1,1.293,1.209,1.221,,,,,24,3.5,2.0,27,2.6666666666666665,2.0
1000,20,0.0,0.0,384452587,10,1,1.201,1.172,1.178,,,,,12,2.4166666666666665,2.0,14,1.6428571428571428,1.0
1000,20,0.0,0.0,626401695,10,1,1.267,1.23,1.238,,,,,18,2.0555555555555554,1.5,17,1.7058823529411764,1.0
1000,20,0.0,0.0,957413342,10,1,1.177,1.151,1.151,,,,,12,2.1666666666666665,2.0,12,2.1666666666666665,2.0
1000,20,0.0,0.0,975078788,10,1,1.21,1.166,1.167,,,,,12,3.6666666666666665,2.0,13,3.3076923076923075,2.0
1000,20,0.0,0.0,234551094,10,1,1.284,1.185,1.207,,,,,35,2.8285714285714287,2.0,34,2.264705882352941,2.0
1000,20,0.0,0.0,541903389,10,1,1.217,1.217,1.217,,,,,0,0,0,0,0,0
1000,20,0.0,0.0,149544006,10,1,1.199,1.16,1.164,,,,,10,3.9,4.0,10,3.5,3.0
1000,20,0.0,0.0,302621084,10,1,1.191,1.179,1.179,,,,,4,3.0,2.5,6,2.0,1.5
1000,20,0.0,0.0,150050891,10,1,1.274,1.224,1.23,,,,,18,2.7777777777777777,3.0,17,2.588235294117647,2.0
1000,20,0.0,0.0,811538590,10,1,1.147,1.14,1.14,,,,,6,1.1666666666666667,1.0,6,1.1666666666666667,1.0
1000,20,0.0,0.0,101823753,10,1,1.109,1.103,1.103,,,,,5,1.2,1.0,5,1.2,1.0
1000,20,0.0,0.0,663968655,10,1,1.253,1.208,1.198,,,,,13,3.4615384615384617,3.0,19,2.8947368421052633,2.0
1000,20,0.0,0.0,858351976,10,1,1.205,1.168,1.174,,,,,11,3.3636363636363638,2.0,13,2.3846153846153846,1.0
1000,20,0.0,0.0,268979133,10,1,1.224,1.151,1.155,,,,,22,3.3181818181818183,2.0,26,2.6538461538461537,1.0
1000,20,0.0,0.0,976832602,10,1,1.165,1.134,1.14,,,,,11,2.8181818181818183,2.0,14,1.7857142857142858,1.0
1000,20,0.0,0.0,571835844,10,1,1.208,1.192,1.192,,,,,2,8.0,8.0,2,8.0,8.0
1000,20,0.0,0.0,757172936,10,1,1.14,1.099,1.102,,,,,13,3.1538461538461537,2.0,17,2.235294117647059,1.0
1000,20,0.0,0.0,869964135,10,1,1.301,1.205,1.232,,,,,28,3.4285714285714284,2.0,27,2.5555555555555554,2.0
1000,20,0.0,0.0,646287425,10,1,1.152,1.122,1.123,,,,,12,2.5,2.0,12,2.4166666666666665,1.0
1000,20,0.0,0.0,968693314,10,1,1.202,1.188,1.185,,,,,7,2.0,1.0,9,1.8888888888888888,1.0
1000,20,0.0,0.0,157798602,10,1,1.2,1.176,1.177,,,,,7,3.4285714285714284,3.0,9,2.5555555555555554,1.0
1000,20,0.0,0.0,333018422,10,1,1.168,1.151,1.151,,,,,6,2.8333333333333335,2.5,6,2.8333333333333335,2.5
1000,20,0.0,0.0,106046331,10,1,1.238,1.175,1.168,,,,,16,3.9375,2.0,23,3.0434782608695654,2.0
1000,20,0.0,0.0,783650878,10,1,1.134,1.12,1.123,,,,,4,3.5,3.5,5,2.2,1.0
1000,20,0.0,0.0,79180332,10,1,1.209,1.2,1.2,,,,,6,1.5,1.0,6,1.5,1.0
1000,20,0.0,0.0,965120263,10,1,1.239,1.19,1.184,,,,,19,2.5789473684210527,2.0,21,2.619047619047619,1.0
1000,20,0.0,0.0,913189317,10,1,1.216,1.175,1.167,,,,,17,2.411764705882353,1.0,17,2.8823529411764706,2.0
1000,20,0.0,0.0,734422154,10,1,1.233,1.176,1.19,,,,,20,2.85,3.0,19,2.263157894736842,2.0
1000,20,0.0,0.0,354546567,10,1,1.213,1.177,1.181,,,,,13,2.769230769230769,2.0,12,2.6666666666666665,2.0
1000,20,0.0,0.0,506959381,10,1,1.162,1.147,1.146,,,,,4,3.75,4.0,6,2.6666666666666665,2.0
1000,20,0.0,0.0,601095367,10,1,1.207,1.167,1.182,,,,,13,3.076923076923077,3.0,11,2.272727272727273,2.0
1000,20,0.0,0.0,108127101,10,1,1.27,1.221,1.231,,,,,20,2.45,2.0,22,1.7727272727272727,1.0
1000,20,0.0,0.0,379880545,10,1,1.298,1.193,1.208,,,,,26,4.038461538461538,3.0,33,2.727272727272727,2.0
1000,20,0.0,0.0,466188456,10,1,1.206,1.164,1.159,,,,,17,2.4705882352941178,2.0,21,2.238095238095238,2.0
1000,20,0.0,0.0,339513621,10,1,1.252,1.216,1.219,,,,,14,2.5714285714285716,1.5,17,1.9411764705882353,1.0
1000,20,0.0,0.0,655934894,10,1,1.365,1.272,1.283,,,,,25,3.72,2.0,29,2.8275862068965516,2.0
1000,20,0.0,0.0,687649391,10,1,1.438,1.296,1.343,,,,,37,3.8378378378378377,2.0,43,2.2093023255813953,2.0
1000,20,0.0,0.0,980338159,10,1,1.232,1.214,1.206,,,,,8,2.25,1.5,12,2.1666666666666665,1.0
1000,20,0.0,0.0,219556306,10,1,1.163,1.158,1.158,,,,,2,2.5,2.5,2,2.5,2.5
1000,20,0.0,0.0,593267777,10,1,1.223,1.166,1.17,,,,,25,2.28,2.0,29,1.8275862068965518,1.0
1000,20,0.0,0.0,512185345,10,1,1.264,1.225,1.225,,,,,13,3.0,2.0,13,3.0,2.0
1000,20,0.0,0.0,475338372,10,1,1.189,1.159,1.159,,,,,9,3.3333333333333335,2.0,15,2.0,1.0
1000,20,0.0,0.0,929119463,10,1,1.332,1.23,1.239,,,,,32,3.1875,2.0,36,2.5833333333333335,1.0
1000,20,0.0,0.0,559799206,10,1,1.183,1.141,1.137,,,,,18,2.3333333333333335,1.0,18,2.5555555555555554,1.0
1000,20,0.0,0.0,279701488,10,1,1.174,1.152,1.157,,,,,14,1.5714285714285714,1.0,12,1.4166666666666667,1.0
