n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EE_bug,diff_assignment,n_assigned_DA,n_assigned_EE,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,median_rank_impr_EE_DA,n_stud_impr_EE_bug_DA,avg_rank_impr_EE_bug_DA,median_rank_impr_EE_bug_DA
1000,20,0.2,0.2,906691059,10,1,1.895,1.72,1.726,False,,,63,2.7777777777777777,2.0,67,2.5223880597014925,2.0
1000,20,0.2,0.2,413653999,10,1,1.911,1.649,1.706,False,,,77,3.4025974025974026,2.0,92,2.2282608695652173,2.0
1000,20,0.4,0.2,906691059,10,1,4.564,3.266,3.577,False,,,317,4.094637223974764,3.0,351,2.8119658119658117,2.0
1000,20,0.4,0.2,413653999,10,1,3.583,2.889,2.996,False,,,219,3.1689497716894977,2.0,245,2.3959183673469386,2.0
1000,20,0.6000000000000001,0.2,906691059,10,1,7.714,6.306,6.564,False,,,325,4.332307692307692,3.0,383,3.0026109660574414,2.0
1000,20,0.6000000000000001,0.2,413653999,10,1,6.665,5.926,6.087,False,,,203,3.6403940886699506,3.0,214,2.7009345794392523,2.0
1000,20,0.8,0.2,906691059,10,1,9.598,9.24,9.285,False,,,145,2.4689655172413794,2.0,164,1.9085365853658536,1.0
1000,20,0.8,0.2,413653999,10,1,9.254,9.004,9.038,False,,,93,2.6881720430107525,2.0,97,2.2268041237113403,2.0
1000,20,1.0,0.2,906691059,10,1,10.034,10.032,10.032,True,,,2,1.0,1.0,2,1.0,1.0
1000,20,1.0,0.2,413653999,10,1,9.954,9.942,9.942,True,,,12,1.0,1.0,12,1.0,1.0
1000,20,0.0,0.4,906691059,10,1,1.19,1.163,1.163,False,,,16,1.6875,1.0,16,1.6875,1.0
1000,20,0.0,0.4,413653999,10,1,1.213,1.183,1.187,False,,,13,2.3076923076923075,1.0,15,1.7333333333333334,1.0
1000,20,0.2,0.4,906691059,10,1,2.081,1.781,1.833,False,,,92,3.260869565217391,2.0,96,2.5833333333333335,2.0
1000,20,0.2,0.4,413653999,10,1,1.659,1.496,1.53,False,,,66,2.4696969696969697,2.0,65,1.9846153846153847,1.0
1000,20,0.4,0.4,906691059,10,1,4.575,3.659,3.807,False,,,215,4.26046511627907,3.0,231,3.324675324675325,2.0
1000,20,0.4,0.4,413653999,10,1,3.573,2.838,2.967,False,,,203,3.6206896551724137,2.0,235,2.578723404255319,2.0
1000,20,0.6000000000000001,0.4,906691059,10,1,7.245,6.234,6.463,False,,,263,3.844106463878327,3.0,286,2.734265734265734,2.0
1000,20,0.6000000000000001,0.4,413653999,10,1,6.32,5.642,5.748,False,,,194,3.4948453608247423,3.0,209,2.736842105263158,2.0
1000,20,0.8,0.4,906691059,10,1,8.867,8.656,8.674,False,,,83,2.5421686746987953,2.0,97,1.9896907216494846,1.0
1000,20,0.8,0.4,413653999,10,1,8.6,8.471,8.465,False,,,54,2.388888888888889,2.0,60,2.25,2.0
1000,20,1.0,0.4,906691059,10,1,9.524,9.51,9.51,True,,,14,1.0,1.0,14,1.0,1.0
1000,20,1.0,0.4,413653999,10,1,9.278,9.278,9.278,True,,,0,0,0,0,0,0
1000,20,0.0,0.6000000000000001,906691059,10,1,1.265,1.198,1.204,False,,,23,2.9130434782608696,1.0,22,2.772727272727273,2.0
1000,20,0.0,0.6000000000000001,413653999,10,1,1.27,1.212,1.221,False,,,26,2.230769230769231,1.5,28,1.75,1.0
1000,20,0.2,0.6000000000000001,906691059,10,1,2.232,1.697,1.804,False,,,172,3.11046511627907,2.0,179,2.3910614525139664,1.0
1000,20,0.2,0.6000000000000001,413653999,10,1,1.709,1.444,1.515,False,,,90,2.9444444444444446,2.0,93,2.086021505376344,1.0
1000,20,0.4,0.6000000000000001,906691059,10,1,4.11,3.323,3.387,False,,,219,3.593607305936073,3.0,240,3.0125,2.0
1000,20,0.4,0.6000000000000001,413653999,10,1,3.213,2.452,2.598,False,,,238,3.197478991596639,2.0,255,2.411764705882353,2.0
1000,20,0.6000000000000001,0.6000000000000001,906691059,10,1,6.052,5.557,5.647,False,,,137,3.613138686131387,3.0,138,2.9347826086956523,2.0
1000,20,0.6000000000000001,0.6000000000000001,413653999,10,1,5.218,4.847,4.905,False,,,112,3.3125,3.0,119,2.630252100840336,2.0
1000,20,0.8,0.6000000000000001,906691059,10,1,7.507,7.34,7.363,False,,,54,3.0925925925925926,3.0,62,2.3225806451612905,2.0
1000,20,0.8,0.6000000000000001,413653999,10,1,7.047,7.003,7.004,False,,,21,2.0952380952380953,1.0,23,1.8695652173913044,1.0
1000,20,1.0,0.6000000000000001,906691059,10,1,8.352,8.349,8.349,True,,,2,1.5,1.5,2,1.5,1.5
1000,20,1.0,0.6000000000000001,413653999,10,1,7.96,7.96,7.96,True,,,0,0,0,0,0,0
1000,20,0.0,0.8,906691059,10,1,1.568,1.352,1.39,False,,,85,2.541176470588235,2.0,94,1.8936170212765957,1.0
1000,20,0.0,0.8,413653999,10,1,1.891,1.472,1.555,False,,,159,2.6352201257861636,2.0,181,1.856353591160221,1.0
1000,20,0.2,0.8,906691059,10,1,2.05,1.749,1.778,False,,,133,2.263157894736842,2.0,138,1.9710144927536233,1.0
1000,20,0.2,0.8,413653999,10,1,1.932,1.645,1.669,False,,,124,2.314516129032258,2.0,137,1.9197080291970803,1.0
1000,20,0.4,0.8,906691059,10,1,2.972,2.613,2.649,False,,,143,2.5104895104895104,2.0,147,2.197278911564626,2.0
1000,20,0.4,0.8,413653999,10,1,2.575,2.379,2.399,False,,,74,2.6486486486486487,2.0,75,2.3466666666666667,1.0
1000,20,0.6000000000000001,0.8,906691059,10,1,3.877,3.644,3.663,False,,,98,2.377551020408163,1.0,96,2.2291666666666665,1.0
1000,20,0.6000000000000001,0.8,413653999,10,1,3.376,3.316,3.326,False,,,21,2.857142857142857,3.0,22,2.272727272727273,2.0
1000,20,0.8,0.8,906691059,10,1,4.671,4.612,4.616,False,,,23,2.5652173913043477,2.0,26,2.1153846153846154,2.0
1000,20,0.8,0.8,413653999,10,1,4.211,4.208,4.208,True,,,2,1.5,1.5,2,1.5,1.5
1000,20,1.0,0.8,906691059,10,1,5.237,5.229,5.229,True,,,6,1.3333333333333333,1.0,6,1.3333333333333333,1.0
1000,20,1.0,0.8,413653999,10,1,4.87,4.87,4.87,True,,,0,0,0,0,0,0
1000,20,0.0,1.0,906691059,10,1,2.006,2.006,2.006,True,,,0,0,0,0,0,0
1000,20,0.0,1.0,413653999,10,1,2.263,2.263,2.263,True,,,0,0,0,0,0,0
1000,20,0.2,1.0,906691059,10,1,2.006,2.006,2.006,True,,,0,0,0,0,0,0
1000,20,0.2,1.0,413653999,10,1,2.263,2.263,2.263,True,,,0,0,0,0,0,0
1000,20,0.4,1.0,906691059,10,1,2.006,2.006,2.006,True,,,0,0,0,0,0,0
1000,20,0.4,1.0,413653999,10,1,2.263,2.263,2.263,True,,,0,0,0,0,0,0
1000,20,0.6000000000000001,1.0,906691059,10,1,2.006,2.006,2.006,True,,,0,0,0,0,0,0
1000,20,0.6000000000000001,1.0,413653999,10,1,2.263,2.263,2.263,True,,,0,0,0,0,0,0
1000,20,0.8,1.0,906691059,10,1,2.006,2.006,2.006,True,,,0,0,0,0,0,0
1000,20,0.8,1.0,413653999,10,1,2.263,2.263,2.263,True,,,0,0,0,0,0,0
1000,20,1.0,1.0,906691059,10,1,2.006,2.006,2.006,True,,,0,0,0,0,0,0
1000,20,1.0,1.0,413653999,10,1,2.263,2.263,2.263,True,,,0,0,0,0,0,0
